"wikipedia_id","wiki_img_url","name","age","gender","ethnicity","type","party","state","wiki_img_labels","wiki_img_labelsconf","clothing_apparel","color_adjective","occupation","other","physicaltrait_body","wiki_img_labels_repl","wiki_img_labelsconf_repl","clothing_apparel_repl","color_adjective_repl","occupation_repl","other_repl","physicaltrait_body_repl"
"Darrell_Issa","mc_images/Darrell_Issa.jpg","Darrell Issa",65,"Male","white","Representative","Republican","CA","suit, official, necktie, businessperson, spokesperson, speaker, white_collar_worker, gentleman, business, formal_wear, tuxedo","0.9324397444725037, 0.8884827494621277, 0.8407331109046936, 0.8034897446632385, 0.7602314352989197, 0.6090072989463806, 0.5942517518997192, 0.5679942965507507, 0.5621662139892578, 0.5463675856590271, 0.5098484754562378",4,1,6,0,0,"Forehead, Smile, Dress_shirt, Tie, Sleeve, Gesture, Flag, Collar, Flag_of_the_united_states, Blazer, Suit, Official, White-collar_worker, Formal_wear, Event, Throat, Flag_Day_(USA), Government_agency, Happy, Spokesperson, Job, Businessperson, Business, Military_person, Wrinkle","0.9846564, 0.97415876, 0.90267754, 0.8903206, 0.8645561, 0.85260487, 0.842837, 0.84080476, 0.7839782, 0.7827627, 0.77947444, 0.7590777, 0.7507877, 0.73812467, 0.72413194, 0.6980625, 0.6611049, 0.65675807, 0.6337572, 0.6287309, 0.5779169, 0.53399605, 0.52955323, 0.5263567, 0.525379",8,1,8,4,4
"Darren_Soto","mc_images/Darren_Soto.jpg","Darren Soto",40,"Male","hispanic","Representative","Democrat","FL","person, official, businessperson, spokesperson, speaker, suit, elder, business, necktie","0.9278837442398071, 0.8925541639328003, 0.8004416227340698, 0.7894531488418579, 0.6465127468109131, 0.6202945709228516, 0.6168808937072754, 0.563814103603363, 0.5230257511138916",2,0,5,1,1,"Forehead, Smile, Dress_shirt, Tie, Gesture, Sleeve, Collar, Suit, Blazer, Official, Event, Flag_of_the_united_states, Flag, Formal_wear, White-collar_worker, Throat, Spokesperson, Job, Electric_blue, Flag_Day_(USA), Business, Government_agency, Businessperson","0.9846564, 0.9526939, 0.8900077, 0.8592444, 0.8513751, 0.84447426, 0.8411712, 0.8206696, 0.7826727, 0.7548311, 0.7327163, 0.7283301, 0.70483714, 0.7020487, 0.70171744, 0.69949275, 0.69514966, 0.64524865, 0.61009544, 0.5994094, 0.5792371, 0.5327007, 0.5203702",7,1,7,4,4
"Dave_Brat","mc_images/Dave_Brat.jpg","David Brat",54,"Male","white","Representative","Republican","VA","official, suit, necktie, spokesperson, businessperson, outerwear, business, speaker, public_speaking, energy, speech, management","0.8868150115013123, 0.8493630290031433, 0.8119232058525085, 0.8103229999542236, 0.7937767505645752, 0.6976775527000427, 0.6879980564117432, 0.6822932958602905, 0.6376612782478333, 0.5654491186141968, 0.563602089881897, 0.5018457770347595",3,0,7,2,0,"Smile, Tie, Dress_shirt, Sleeve, Gesture, Collar, Flag, Suit, Flag_of_the_united_states, Blazer, Official, Spokesperson, Event, Formal_wear, White-collar_worker, Throat, Electric_blue, Pleased, Job, Happy, Flag_Day_(USA), Business, Wrinkle, Businessperson","0.97597516, 0.9041374, 0.88548505, 0.8721414, 0.85260487, 0.84097016, 0.8039161, 0.7997798, 0.797319, 0.7827277, 0.76405764, 0.7425158, 0.7358398, 0.72913784, 0.70489484, 0.6978807, 0.69339776, 0.65194345, 0.6445723, 0.6359388, 0.63008296, 0.56330013, 0.5422213, 0.5190905",8,3,6,4,3
"Dave_Loebsack","mc_images/Dave_Loebsack.jpg","David Loebsack",66,"Male","white","Representative","Democrat","IA","person, official, suit, elder, businessperson, gentleman, speech, spokesperson, speaker, senior_citizen, formal_wear, necktie","0.9247616529464722, 0.8933026194572449, 0.7769225835800171, 0.7665576338768005, 0.6860356330871582, 0.6837084889411926, 0.6330838203430176, 0.6221895217895508, 0.6031348705291748, 0.5914937853813171, 0.5724276304244995, 0.5342836380004883",3,1,4,2,2,"Smile, Glasses, Dress_shirt, Tie, Collar, Sleeve, Flag, Flag_of_the_united_states, Blazer, Suit, Beard, Event, Official, Formal_wear, Government_agency, Wrinkle, Flag_Day_(USA), Spokesperson, White-collar_worker, Moustache","0.97621405, 0.97225976, 0.8957628, 0.87672645, 0.84097725, 0.83154255, 0.8302661, 0.78662425, 0.78266025, 0.76181304, 0.7486042, 0.7250521, 0.7134904, 0.7056475, 0.68195593, 0.6816818, 0.6020912, 0.54910684, 0.5324244, 0.5321216",9,0,4,4,3
"Dave_Reichert","mc_images/Dave_Reichert.jpg","David Reichert",68,"Male","white","Representative","Republican","WA","blue, photograph, senior_citizen, man, facial_expression, standing, smile, male, photography, outerwear, dress_shirt, official, fun, sleeve, businessperson, elder, portrait, formal_wear","0.9683936834335327, 0.9566463232040405, 0.9511678814888, 0.9385583996772766, 0.9384648203849792, 0.8830885887145996, 0.8486841320991516, 0.8296850323677063, 0.789692223072052, 0.7683978080749512, 0.731408417224884, 0.6840577721595764, 0.6801797747612, 0.6472846269607544, 0.6400591135025024, 0.5910564661026001, 0.5221133232116699, 0.5112780928611755",4,3,2,3,6,"Smile, Daytime, Sky, Dress_shirt, Sleeve, Standing, Happy, Collar, People, Formal_wear, Tie, White-collar_worker, Electric_blue, Travel, Official, Event, Fun, Sitting, City, Belt, Portrait_photography, Uniform, Laugh, Street, Vacation","0.9698674, 0.9448179, 0.93404025, 0.9069646, 0.87245035, 0.86421657, 0.86306816, 0.8400254, 0.7911757, 0.77640957, 0.75983506, 0.75631255, 0.7511173, 0.7358695, 0.734552, 0.72675747, 0.6657097, 0.6590726, 0.6252827, 0.6074635, 0.60189164, 0.5715152, 0.5659542, 0.5407506, 0.53738886",7,4,2,10,2
"Dave_Trott_(politician)","mc_images/Dave_Trott_(politician).jpg","Dave Trott",58,"Male","white","Representative","Republican","MI","official, suit, businessperson, spokesperson, white_collar_worker, speech, business, necktie, public_speaking, speaker","0.8855648040771484, 0.8330584764480591, 0.7979941964149475, 0.7433609366416931, 0.6511529684066772, 0.6013407111167908, 0.5871372222900391, 0.5463845133781433, 0.5226219892501831, 0.5168893933296204",2,0,7,1,0,"Smile, Dress_shirt, Tie, Gesture, Sleeve, Collar, Suit, Flag, Blazer, Spokesperson, Official, Event, Formal_wear, Flag_of_the_united_states, White-collar_worker, Throat, Happy, Pleased, Electric_blue, Job, Business, Flag_Day_(USA), Businessperson","0.971881, 0.88345134, 0.8589337, 0.85260487, 0.84241897, 0.84119743, 0.82170874, 0.78697443, 0.7827387, 0.73474014, 0.72330135, 0.71988887, 0.7127959, 0.71139854, 0.7070845, 0.69718343, 0.68246514, 0.6530162, 0.6229107, 0.5703491, 0.5687401, 0.51897204, 0.51884425",7,3,6,4,3
"David_Cicilline","mc_images/David_Cicilline.jpg","David Cicilline",57,"Male","white","Representative","Democrat","RI","person, chin, official, forehead, businessperson, white_collar_worker, elder, suit, business, gentleman, spokesperson, smile","0.9352890849113464, 0.863101601600647, 0.8624972105026245, 0.7998518943786621, 0.7938318252563477, 0.7449942231178284, 0.6530966758728027, 0.6254205703735352, 0.60987788438797, 0.5908350944519043, 0.5903869271278381, 0.5264711380004883",1,1,5,1,4,"Forehead, Hair, Smile, Chin, Eyebrow, Human, Jaw, Tie, Dress_shirt, Collar, Suit, Blazer, Happy, Beauty, Formal_wear, Official, White-collar_worker, Throat, Event, Pleased, Electric_blue, Portrait_photography, Business, Businessperson","0.9846564, 0.9825552, 0.9737367, 0.9664085, 0.9408596, 0.8918671, 0.88101006, 0.87942773, 0.87581307, 0.839663, 0.8282625, 0.7712791, 0.75238943, 0.7500941, 0.7346823, 0.73010087, 0.7143172, 0.69957584, 0.6718774, 0.5929963, 0.5905731, 0.5472521, 0.5374781, 0.5175296",6,4,4,3,7
"David_Joyce_(politician)","mc_images/David_Joyce_(politician).jpg","David Joyce",61,"Male","white","Representative","Republican","OH","person, official, suit, businessperson, elder, spokesperson, speaker, necktie, gentleman, speech","0.9244287014007568, 0.8922562599182129, 0.8499776721000671, 0.7905557155609131, 0.7013190984725952, 0.6952729225158691, 0.6410925388336182, 0.6361374258995056, 0.5987628698348999, 0.53648442029953",2,1,4,2,1,"Smile, Chin, Shirt, Dress_shirt, Tie, Gesture, Collar, Flag, Suit, Blazer, Flag_of_the_united_states, Spokesperson, Event, Official, Formal_wear, Wrinkle, Throat, Happy, Sleeve, White-collar_worker, Pleased, Flag_Day_(USA), Electric_blue, Job, Businessperson","0.9793067, 0.9656103, 0.9388674, 0.8869734, 0.8672747, 0.85260487, 0.8403261, 0.8227791, 0.820886, 0.7826896, 0.782314, 0.7541393, 0.7397457, 0.72889453, 0.7086968, 0.7076721, 0.69849867, 0.69746333, 0.6713183, 0.6458287, 0.64557725, 0.6051326, 0.59690416, 0.5813007, 0.52325916",9,3,5,4,4
"David_Kustoff","mc_images/David_Kustoff.jpg","David Kustoff",52,"Male","white","Representative","Republican","TN","suit, official, formal_wear, businessperson, necktie, spokesperson, tuxedo, speech, gentleman, public_speaking, speaker, white_collar_worker","0.9428836107254028, 0.8902609944343567, 0.8633573651313782, 0.7923422455787659, 0.7529765367507935, 0.7353538274765015, 0.7337489724159241, 0.7295131683349609, 0.6878523230552673, 0.6610515713691711, 0.5468171834945679, 0.5231127142906189",4,1,6,1,0,"Smile, Dress_shirt, Sleeve, Gesture, Tie, Flag, Collar, Suit, Blazer, Flag_of_the_united_states, Formal_wear, Official, Event, Throat, White-collar_worker, Happy, Spokesperson, Pleased, Flag_Day_(USA), Button, Business, Electric_blue, Job, Government_agency, Embellishment","0.9721121, 0.8997962, 0.8723822, 0.85260487, 0.8494321, 0.8419982, 0.8413189, 0.80179226, 0.7827672, 0.7715813, 0.75669247, 0.75630885, 0.73131585, 0.69969547, 0.6860353, 0.65447897, 0.651563, 0.6482026, 0.6213751, 0.61716366, 0.59073734, 0.5879189, 0.56297714, 0.54506046, 0.52887124",9,3,6,4,3
"David_McKinley","mc_images/David_McKinley.jpg","David McKinley",71,"Male","white","Representative","Republican","WV","person, official, businessperson, spokesperson, suit, elder, speaker, gentleman, senior_citizen, speech","0.9261511564254761, 0.8928614854812622, 0.7857494354248047, 0.7508816123008728, 0.7430176138877869, 0.7144186496734619, 0.6849930882453918, 0.5977237820625305, 0.5411779284477234, 0.52076256275177",1,1,4,2,2,"Forehead, Face, Head, Dress_shirt, Tie, Smile, Collar, Flag, Blazer, Official, Suit, Event, Flag_of_the_united_states, Formal_wear, White-collar_worker, Throat, Wrinkle, Spokesperson, Government_agency, Elder, Cloud, Flag_Day_(USA), Businessperson","0.9846564, 0.98325795, 0.9721432, 0.89275575, 0.84882563, 0.83247524, 0.8316264, 0.81760997, 0.7825522, 0.77680033, 0.7756819, 0.73313785, 0.7153852, 0.70566875, 0.6982005, 0.69490373, 0.6782988, 0.6551342, 0.6063114, 0.57839537, 0.5738475, 0.5395438, 0.5263838",7,0,5,6,5
"David_Perdue","mc_images/David_Perdue.jpg","David Perdue",69,"Male","white","Senator","Republican","GA","suit, official, businessperson, formal_wear, tuxedo, gentleman, business, necktie","0.9340410232543945, 0.8014175295829773, 0.7914055585861206, 0.7626022696495056, 0.7238211631774902, 0.63470458984375, 0.561474084854126, 0.561329185962677",4,1,3,0,0,"Clothing, Smile, Shirt, Dress_shirt, Tie, Sleeve, Gesture, Collar, Suit, Blazer, Formal_wear, White-collar_worker, Official, Event, Throat, Wrinkle, Button, Electric_blue, Elder, Management, Happy, Business, Tuxedo, Businessperson, Portrait_photography","0.9872165, 0.9776116, 0.9480937, 0.907064, 0.8954848, 0.87245035, 0.85260487, 0.84142566, 0.8413514, 0.7827797, 0.7684625, 0.7293425, 0.71802336, 0.6989865, 0.6736065, 0.66158086, 0.6251791, 0.6171159, 0.57078266, 0.5706349, 0.5656972, 0.56537825, 0.55018353, 0.5309001, 0.5154887",12,2,5,3,3
"David_Price_(U.S._politician)","mc_images/David_Price_(U.S._politician).jpg","David Price",78,"Male","white","Representative","Democrat","NC","official, suit, businessperson, speaker, necktie, spokesperson, elder, speech, business, gentleman","0.8919457197189331, 0.8501590490341187, 0.7758005857467651, 0.6975338459014893, 0.6954120397567749, 0.6920499801635742, 0.6242769360542297, 0.6162713766098022, 0.5748655796051025, 0.5458370447158813",2,1,5,1,1,"Glasses, Tie, Dress_shirt, Gesture, Collar, Suit, Flag, Sleeve, Smile, Blazer, Official, Event, Wrinkle, Flag_of_the_united_states, Spokesperson, Formal_wear, Electric_blue, White-collar_worker, Business, Job, Portrait_photography, Flag_Day_(USA), Businessperson, Portrait, Government_agency","0.97909755, 0.8937766, 0.8869881, 0.85260487, 0.8396194, 0.8333121, 0.82712704, 0.7980862, 0.79804534, 0.7827703, 0.7803034, 0.7421644, 0.74004406, 0.7233828, 0.71873873, 0.7135455, 0.70263076, 0.6784944, 0.5887334, 0.5608042, 0.54882383, 0.5369003, 0.53319615, 0.5256621, 0.52509147",9,1,7,5,3
"David_Rouzer","mc_images/David_Rouzer.jpg","David Rouzer",46,"Male","white","Representative","Republican","NC","official, suit, spokesperson, businessperson, speech, public_speaking, necktie, speaker, white_collar_worker, formal_wear","0.887406051158905, 0.8234663009643555, 0.8158330321311951, 0.7878304719924927, 0.7205668091773987, 0.6193934082984924, 0.5838102102279663, 0.550366222858429, 0.5214040875434875, 0.5168648958206177",3,0,6,1,0,"Smile, Dress_shirt, Flag, Gesture, Sleeve, Collar, Tie, Flag_of_the_united_states, Blazer, Suit, Event, Official, Formal_wear, Happy, Throat, Electric_blue, Spokesperson, Flag_Day_(USA), Pleased, Government_agency, White-collar_worker, Job, Business, Businessperson, Organization","0.9750314, 0.8682772, 0.8617233, 0.85260487, 0.8468236, 0.8404846, 0.8277251, 0.79732907, 0.78238195, 0.7715056, 0.7374748, 0.7371005, 0.719021, 0.6944093, 0.6873901, 0.6628458, 0.661936, 0.6619173, 0.65429676, 0.6266953, 0.6234289, 0.59873444, 0.5570508, 0.5206724, 0.5005612",7,3,8,4,3
"David_Schweikert","mc_images/David_Schweikert.jpg","David Schweikert",56,"Male","white","Representative","Republican","AZ","suit, official, spokesperson, businessperson, formal_wear, gentleman, speech, necktie, public_speaking, tuxedo, speaker, white_collar_worker","0.9452540278434753, 0.8897673487663269, 0.8235735297203064, 0.7841561436653137, 0.7686376571655273, 0.7549851536750793, 0.7262971997261047, 0.6940239667892456, 0.691716730594635, 0.669086217880249, 0.5811051726341248, 0.5287018418312073",4,1,6,1,0,"Dress_shirt, Tie, Sleeve, Gesture, Flag_of_the_united_states, Collar, Spokesperson, Flag, Blazer, Official, Suit, Formal_wear, Event, White-collar_worker, Flag_Day_(USA), Electric_blue, Job, Government_agency, Government, Business, Public_speaking, Businessperson, Management","0.8846231, 0.86742914, 0.85454416, 0.85260487, 0.8512224, 0.8407467, 0.7908684, 0.7847272, 0.78276664, 0.7645408, 0.7636851, 0.73982954, 0.72727007, 0.6966461, 0.6925532, 0.64254856, 0.6348046, 0.63191015, 0.5878826, 0.56676924, 0.53883535, 0.5233903, 0.5012733",7,1,10,4,1
"David_Scott_(Georgia_politician)","mc_images/David_Scott_(Georgia_politician).jpg","David Scott",73,"Male","african_american","Representative","Democrat","GA","person, official, elder, businessperson, speaker, speech, public_speaking, spokesperson","0.92348712682724, 0.8772321343421936, 0.7768998146057129, 0.7471407055854797, 0.666992723941803, 0.5672999620437622, 0.5476030707359314, 0.5211985111236572",0,0,5,2,1,"Forehead, Smile, Chin, Gesture, Collar, Suit, Blazer, Flag_of_the_united_states, Official, Tie, Happy, Flag, Formal_wear, Event, Spokesperson, White-collar_worker, Electric_blue, Flag_Day_(USA), Job, Wrinkle, Government_agency, Dress_shirt, News, Businessperson, Military_person","0.9846564, 0.9806516, 0.9665794, 0.85260487, 0.82960147, 0.79392624, 0.7824442, 0.7516011, 0.75094885, 0.7395277, 0.73723346, 0.72707564, 0.71639615, 0.7011856, 0.68621886, 0.6782573, 0.63489133, 0.62847704, 0.62846726, 0.61525506, 0.5945897, 0.57837945, 0.51593, 0.5113806, 0.5060602",7,2,7,5,4
"David_Valadao","mc_images/David_Valadao.jpg","David Valadao",41,"Male","hispanic","Representative","Republican","CA","official, suit, businessperson, spokesperson, business, white_collar_worker, necktie, elder, public_speaking, speaker, formal_wear, management, gentleman","0.8916045427322388, 0.8711131811141968, 0.8042656183242798, 0.7356447577476501, 0.6886929869651794, 0.6661343574523926, 0.6279285550117493, 0.62275630235672, 0.6097763776779175, 0.593961238861084, 0.5637937188148499, 0.5086828470230103, 0.5045322775840759",3,1,8,0,1,"Smile, Tie, Dress_shirt, Gesture, Collar, Flag_of_the_united_states, Flag, Suit, Blazer, Official, Formal_wear, Event, Spokesperson, Electric_blue, White-collar_worker, Flag_Day_(USA), Pleased, Business, Happy, Government_agency, Job, Management, Businessperson","0.96855783, 0.88079935, 0.8678827, 0.85260487, 0.8374435, 0.835774, 0.81461394, 0.79416573, 0.78274614, 0.749879, 0.7392668, 0.7339498, 0.6987422, 0.69852495, 0.6702071, 0.66060483, 0.63184124, 0.5997508, 0.59278095, 0.524222, 0.52050215, 0.51180553, 0.5048968",6,3,8,4,2
"David_Young_(Iowa_politician)","mc_images/David_Young_(Iowa_politician).jpg","David Young",50,"Male","white","Representative","Republican","IA","suit, official, businessperson, necktie, formal_wear, business, tuxedo, white_collar_worker, gentleman, management","0.9499212503433228, 0.8348516821861267, 0.7988899350166321, 0.7987436652183533, 0.7653322219848633, 0.7145249247550964, 0.7103854417800903, 0.5700348615646362, 0.5166553854942322, 0.505813479423523",4,1,5,0,0,"Glasses, Tie, Dress_shirt, Sleeve, Smile, Gesture, Collar, Suit, Blazer, Formal_wear, White-collar_worker, Official, Event, Electric_blue, Eyewear, Management, Business, Employment, Job, Businessperson","0.97114295, 0.9095514, 0.9025664, 0.87244445, 0.8544634, 0.85260457, 0.8412364, 0.81781375, 0.78277034, 0.76319623, 0.7487983, 0.74743485, 0.71182644, 0.69891804, 0.6853226, 0.60142416, 0.57524014, 0.55170184, 0.5487795, 0.5297651",9,1,7,1,2
"Dean_Heller","mc_images/Dean_Heller.jpg","Dean Heller",58,"Male","white","Senator","Republican","NV","suit, official, businessperson, necktie, formal_wear, business, tuxedo, white_collar_worker, spokesperson","0.9081154465675354, 0.8498516082763672, 0.8008847832679749, 0.6673531532287598, 0.6323782801628113, 0.6130428910255432, 0.576145350933075, 0.5594788193702698, 0.5049214363098145",4,0,5,0,0,"Forehead, Smile, Chin, Eyebrow, Vertebrate, Tie, Dress_shirt, Mammal, Coat, Collar, Suit, Blazer, Gesture, Happy, Formal_wear, White-collar_worker, Official, Event, Throat, Pleased, Sleeve, Wrinkle, Business, Businessperson, Tuxedo","0.9846564, 0.97399193, 0.9658612, 0.9452698, 0.9211648, 0.9147096, 0.9029108, 0.86322546, 0.85818243, 0.84120524, 0.83593845, 0.7827608, 0.77364606, 0.76666826, 0.76230365, 0.7486467, 0.7443245, 0.7074098, 0.6962749, 0.6511228, 0.60534275, 0.58319414, 0.5547735, 0.52822495, 0.52388424",10,2,4,1,8
"Deb_Fischer","mc_images/Deb_Fischer.jpg","Deb Fischer",67,"Female","white","Senator","Republican","NE","outerwear, smile","0.801193356513977, 0.5101363062858582",1,0,0,0,1,"Smile, Facial_expression, Sleeve, Blazer, Event, White-collar_worker, Collar, Necklace, Jewellery, Curtain, Happy, Formal_wear, Official, Employment, Lipstick, Job, Laugh, Businessperson, Portrait_photography","0.9772547, 0.9328528, 0.87244695, 0.7827556, 0.7214058, 0.70921516, 0.6851158, 0.67026424, 0.6609956, 0.64071274, 0.62315196, 0.6166647, 0.58738726, 0.5545357, 0.5423085, 0.53343445, 0.5281703, 0.50732934, 0.5062614",6,1,5,3,4
"Debbie_Dingell","mc_images/Debbie_Dingell.jpg","Debbie Dingell",65,"Female","white","Representative","Democrat","MI","person, chin, blond, hairstyle, spokesperson, official, smile, long_hair, senior_citizen, television_presenter","0.9303287863731384, 0.8616204857826233, 0.8297362327575684, 0.8166794776916504, 0.755740225315094, 0.7262477874755859, 0.6489273905754089, 0.6239246726036072, 0.5757433176040649, 0.5565321445465088",0,0,3,1,6,"Hair, Gesture, Flag_of_the_united_states, Spokesperson, Official, Event, Blond, Electric_blue, Jewellery, Flag, Pleased, Flag_Day_(USA), Necklace, Speech, Blazer, Lipstick, Smile, Body_jewelry, Holiday, Makeover, Layered_hair, Government_agency","0.98400724, 0.8316752, 0.80574566, 0.7816085, 0.7527339, 0.7464441, 0.7169431, 0.7166431, 0.7029562, 0.6592488, 0.65344286, 0.6310873, 0.6000563, 0.57724756, 0.5757495, 0.5748244, 0.566519, 0.5153229, 0.5122186, 0.50452155, 0.5033248, 0.50070554",4,3,3,6,6
"Debbie_Stabenow","mc_images/Debbie_Stabenow.jpg","Debbie Stabenow",68,"Female","white","Senator","Democrat","MI","person, human_hair_color, eyebrow, chin, hairstyle, forehead, blond, cheek, smile, hair_coloring, businessperson, layered_hair, official, senior_citizen, elder, portrait, brown_hair, spokesperson, wrinkle, iris, television_presenter","0.9325863718986511, 0.8994330167770386, 0.8992360830307007, 0.8883607983589172, 0.8367448449134827, 0.8195509314537048, 0.8104082942008972, 0.7830393314361572, 0.6694032549858093, 0.6278223395347595, 0.6068744659423828, 0.6060808897018433, 0.5982328057289124, 0.5881549119949341, 0.5655999779701233, 0.5588279962539673, 0.5432095527648926, 0.5407735705375671, 0.5207917094230652, 0.5148922801017761, 0.5051277279853821",0,0,4,2,15,"Face, Smile, Chin, Eyebrow, Wings, Wrinkle, Blazer, Makeover, Throat, Brown_hair, Necklace, Collar, Jewellery, Official, Pleased, White-collar_worker, Lipstick, Eyelash, Portrait_photography, Portrait, Crop, Bouffant, Earrings, Feathered_hair, Formal_wear","0.98286587, 0.97050625, 0.9680398, 0.9371722, 0.8086051, 0.7795723, 0.7508186, 0.73266673, 0.6938566, 0.67681175, 0.65818566, 0.6569307, 0.65642947, 0.65612894, 0.6560064, 0.6487338, 0.6296656, 0.6205949, 0.588009, 0.5823976, 0.5669768, 0.5551285, 0.54721624, 0.5387881, 0.52455807",7,1,2,3,12
"Debbie_Wasserman_Schultz","mc_images/Debbie_Wasserman_Schultz.jpg","Debbie Wasserman Schultz",52,"Female","white","Representative","Democrat","FL","person, hairstyle, official, outerwear, chin, spokesperson, smile, businessperson, suit, speaker","0.9371222853660583, 0.8194739818572998, 0.8140463829040527, 0.8120253086090088, 0.7925089001655579, 0.7604292035102844, 0.7354567050933838, 0.6708173751831055, 0.6395202279090881, 0.6093965172767639",2,0,4,1,3,"Smile, Outerwear, Sleeve, Gesture, Flag, Flag_of_the_united_states, Blazer, Electric_blue, Official, Event, Blond, Jewellery, Military_person, Button, Formal_wear, Ringlet, Flag_Day_(USA), Happy, Makeover, Fashion_design, Necklace, Uniform, Pattern, Laugh, Portrait_photography","0.9775152, 0.95124024, 0.8716427, 0.85260457, 0.82966816, 0.7858036, 0.7826018, 0.7428391, 0.73506963, 0.71806204, 0.71411115, 0.7122069, 0.68389493, 0.67999834, 0.6484039, 0.614892, 0.60165334, 0.59987646, 0.5985868, 0.598244, 0.594087, 0.5790617, 0.5713851, 0.5237274, 0.50820386",10,3,2,5,5
"Dennis_A._Ross","mc_images/Dennis_A._Ross.jpg","Dennis Ross",59,"Male","white","Representative","Republican","FL","official, suit, businessperson, speaker, elder, speech, spokesperson, business","0.891980767250061, 0.7820797562599182, 0.7538213133811951, 0.6235092878341675, 0.6114453077316284, 0.6101766228675842, 0.606636643409729, 0.5000856518745422",1,0,5,1,1,"Smile, Tie, Dress_shirt, Gesture, Collar, Spokesperson, Suit, Blazer, Flag, Flag_of_the_united_states, Official, Event, Happy, Formal_wear, Electric_blue, Throat, White-collar_worker, Wrinkle, Pleased, Business, Government_agency, Flag_Day_(USA), Businessperson, Job","0.9654766, 0.89922696, 0.897219, 0.85260487, 0.8410092, 0.79431266, 0.7904269, 0.78273594, 0.7767715, 0.7647543, 0.75759774, 0.7384515, 0.7175092, 0.7083089, 0.70637757, 0.6946172, 0.6744359, 0.6691322, 0.6462422, 0.5846455, 0.5812734, 0.54726404, 0.5200647, 0.51024896",7,3,7,4,3
"Dennis_Heck","mc_images/Dennis_Heck.jpg","Denny Heck",66,"Male","white","Representative","Democrat","WA","official, suit, businessperson, spokesperson, elder, necktie, speaker, business, gentleman, white_collar_worker","0.8926138877868652, 0.8213780522346497, 0.8009582757949829, 0.8000856041908264, 0.7259218692779541, 0.6731207966804504, 0.6388115882873535, 0.5571499466896057, 0.5321516394615173, 0.5013231039047241",2,1,6,0,1,"Forehead, Glasses, Smile, Dress_shirt, Organ, Tie, Vision_care, Sleeve, Gesture, Collar, Flag, Suit, Blazer, White-collar_worker, Formal_wear, Official, Flag_of_the_united_states, Event, Spokesperson, Throat, Eyewear, Wrinkle, Electric_blue, Job, Business","0.9846564, 0.977702, 0.9472405, 0.9035397, 0.90263164, 0.896174, 0.862311, 0.85685503, 0.85260487, 0.84133977, 0.801851, 0.788335, 0.7827531, 0.740794, 0.7373606, 0.73311687, 0.7302513, 0.7241553, 0.70232713, 0.69970626, 0.67753756, 0.6525481, 0.620002, 0.5872044, 0.5779989",11,1,6,3,4
"Derek_Kilmer","mc_images/Derek_Kilmer.jpg","Derek Kilmer",44,"Male","white","Representative","Democrat","WA","official, necktie, suit, formal_wear, smile, businessperson, gentleman, spokesperson, outerwear, vision_care, white_collar_worker, portrait, tuxedo","0.8889139890670776, 0.8769098520278931, 0.8509947657585144, 0.7939361929893494, 0.7890279293060303, 0.7616834044456482, 0.744676411151886, 0.7268715500831604, 0.6997304558753967, 0.6469064950942993, 0.6047779321670532, 0.601611316204071, 0.5704407095909119",6,1,4,1,1,"Smile, Gesture, Flag_of_the_united_states, Collar, Flag, Blazer, Tie, Suit, Dress_shirt, Official, Formal_wear, Event, Happy, White-collar_worker, Government_agency, Flag_Day_(USA), Electric_blue, Spokesperson, Job, Military_person, Wrinkle, Business, Military_rank, Businessperson, Military_officer","0.98199075, 0.85260487, 0.8464848, 0.8348099, 0.7967995, 0.78265876, 0.780309, 0.77367055, 0.7713148, 0.7513553, 0.74067175, 0.74063486, 0.72606236, 0.7260475, 0.72593683, 0.67106646, 0.6665322, 0.6564813, 0.644511, 0.61364096, 0.5679626, 0.5551904, 0.5496608, 0.53280413, 0.5314284",7,2,10,4,2
"Devin_Nunes","mc_images/Devin_Nunes.jpg","Devin Nunes",45,"Male","hispanic","Representative","Republican","CA","suit, official, formal_wear, speaker, businessperson, public_speaking, outerwear, spokesperson, tuxedo, elder, gentleman, speech, hotel_manager","0.9673429131507874, 0.886149525642395, 0.7877658605575562, 0.7774097323417664, 0.7769317626953125, 0.7501561641693115, 0.7338392734527588, 0.7153180241584778, 0.6909626722335815, 0.6596547961235046, 0.6502741575241089, 0.6254202127456665, 0.6006324291229248",4,1,6,1,1,"Smile, Plant, Dress_shirt, Tie, Gesture, Sleeve, Collar, Flag, Suit, Blazer, Formal_wear, Official, Event, Flag_of_the_united_states, White-collar_worker, Government_agency, Management, Businessperson, Sitting","0.94629836, 0.9154984, 0.89171314, 0.8842732, 0.8525722, 0.8505471, 0.8380263, 0.8301673, 0.81239796, 0.7827762, 0.7709936, 0.75961167, 0.7392566, 0.7362832, 0.73279554, 0.5720816, 0.52866715, 0.52386844, 0.50207865",7,1,5,4,2
